7652
121	147	229	275	
79	295	283	219	
101	155	197	411	
103	203	187	323	
71	227	225	411	
123	183	179	283	
121	151	227	259	
103	275	409	131	
119	291	107	499	
117	275	109	515	
177	279	79	595	
85	131	247	451	
91	211	173	411	
97	163	355	195	
97	191	179	363	
63	227	229	443	
121	147	297	227	
93	223	273	195	
85	151	263	315	
111	127	199	483	
75	163	283	347	
73	131	329	443	
111	119	221	467	
93	175	349	203	
93	167	361	187	
87	171	373	195	
113	131	217	371	
119	275	109	491	
95	115	261	459	
61	219	275	387	
95	175	185	443	
157	299	223	147	
111	139	231	323	
101	139	239	355	
57	203	317	347	
55	211	319	387	
87	183	271	251	
85	123	341	363	
99	187	267	219	
117	183	219	243	
93	199	239	251	
127	155	151	355	
169	311	83	563	
155	255	209	187	
71	179	281	323	
123	251	287	139	
67	143	353	411	
131	219	281	147	
81	203	215	371	
77	239	195	419	
89	239	205	307	
81	147	393	275	
135	247	433	99	
69	215	207	531	
77	227	183	443	
85	211	183	419	
79	127	289	411	
151	191	245	171	
141	219	249	163	
105	259	137	419	
97	163	241	307	
89	151	303	275	
53	283	281	451	
119	151	153	491	
131	163	159	323	
135	151	187	291	
67	267	203	459	
89	187	201	379	
77	199	277	275	
79	139	273	451	
89	203	341	179	
101	131	211	467	
135	171	137	347	
69	235	255	315	
79	239	219	339	
95	155	295	251	
83	159	267	307	
95	203	157	475	
139	167	159	275	
149	83	355	507	
113	131	249	283	
135	199	155	283	
97	215	161	403	
79	207	205	411	
75	147	261	483	
75	167	251	443	
87	151	281	291	
59	243	291	347	
111	135	247	283	
95	143	297	275	
97	143	221	371	
97	111	289	459	
81	135	277	435	
57	275	437	235	
155	71	503	571	
119	259	245	163	
85	231	231	259	
93	187	187	403	
59	275	259	411	
75	159	255	499	
55	219	349	371	
121	203	207	227	
69	287	287	251	
93	231	155	419	
101	203	197	283	
79	179	249	347	
147	147	185	283	
81	171	255	307	
75	183	253	347	
69	131	341	459	
73	135	335	427	
67	219	223	451	
149	299	211	171	
111	219	199	251	
77	231	165	579	
143	195	249	171	
133	223	253	163	
125	179	181	283	
119	271	219	203	
91	259	137	491	
155	235	123	323	
81	159	357	251	
149	319	251	131	
143	295	245	139	
131	103	417	347	
105	187	201	275	
91	147	239	371	
115	155	161	459	
105	187	237	243	
123	251	285	147	
77	239	313	203	
57	175	305	467	
93	195	257	227	
113	175	191	315	
91	251	169	387	
137	79	411	531	
61	199	279	371	
53	239	425	347	
81	191	207	419	
65	251	231	395	
109	291	113	595	
127	87	361	619	
149	223	143	291	
77	227	237	323	
51	283	403	291	
71	207	333	235	
69	199	323	251	
101	131	305	267	
85	227	149	539	
139	219	197	203	
57	199	291	435	
103	111	335	363	
81	183	275	283	
145	167	143	307	
145	171	135	331	
157	279	91	603	
61	271	373	227	
95	183	253	235	
59	259	437	219	
61	183	311	371	
115	175	205	283	
109	175	283	211	
87	163	209	419	
99	187	209	315	
111	239	125	459	
61	215	239	483	
135	183	111	467	
63	159	321	435	
125	87	391	499	
65	215	249	403	
143	75	535	515	
113	155	211	299	
69	219	317	251	
55	203	317	435	
139	139	175	331	
93	179	213	339	
137	263	235	163	
91	143	261	315	
75	123	323	475	
97	191	159	475	
105	227	293	171	
81	207	307	211	
81	183	251	291	
73	195	271	291	
99	271	183	307	
101	259	137	443	
51	295	287	475	
61	247	283	355	
125	147	157	419	
157	143	199	283	
81	207	199	403	
77	135	347	355	
63	139	363	499	
153	195	273	163	
87	271	189	347	
79	199	195	475	
63	279	205	475	
51	247	349	427	
111	95	425	443	
149	87	327	563	
103	107	321	427	
61	179	291	403	
79	279	195	355	
107	159	235	283	
69	175	379	275	
73	159	357	299	
121	283	103	539	
123	263	207	211	
147	235	213	187	
149	119	217	347	
133	203	205	211	
105	123	309	299	
91	203	253	227	
81	199	219	371	
67	163	289	379	
73	191	279	291	
121	179	145	411	
85	167	215	387	
69	151	287	475	
125	255	253	163	
129	207	131	371	
117	259	473	107	
79	195	257	283	
79	175	251	363	
137	219	289	139	
115	167	183	307	
125	151	177	315	
133	155	159	339	
75	127	309	459	
161	315	193	195	
65	243	305	251	
79	227	265	243	
